ACCESSION,GENE,TOTAL_INTENSITY_1,NORM_INTENSITY_1,TOTAL_INTENSITY_2,NORM_INTENSITY_2,PVALUE_1,QVALUE_1,NORM_PVALUE_1,NORM_QVALUE_1,AVERAGE_INTENSITY_1,AVERAGE_INTENSITY_2,NORM_AVERAGE_INTENSITY_1,NORM_AVERAGE_INTENSITY_2,RATIO_2_1,NORM_RATIO_2_1,DESCRIPTION,log2(norm_ratio)
A0A024QZ33,CCDC55,"23088,38338,34348,","31197.0,40684.0,25170.0,","29608,22206,29680,","27374.0,25745.0,29412.0,",0.4254573541982311,0.9996235326,0.3968698939346542,0.9166987877,31924.666666666668,27164.666666666668,32350.33333333333,27510.33333333333,0.8508989913755299,0.8503879403612533,"Coiled-coil domain containing 55, isoform CRA_a OS=Homo sapiens GN=CCDC55 PE=1 SV=1",-0.23380695721916825
A0A024QZ42,PDCD6,"114899,130013,206708,","155262.0,137973.0,151480.0,","124390,114962,134625,","115012.0,133292.0,133415.0,",0.4600434627084984,0.9996235326,0.0610331948800883,0.9166987877,150540.0,124659.0,148238.33333333334,127239.66666666669,0.8280789159027501,0.8583452323398131,"HCG1985580, isoform CRA_c OS=Homo sapiens GN=PDCD6 PE=1 SV=1",-0.2203700685977455
A0A024QZP7,CDK1,"299525,389191,515171,","404742.0,413013.0,377522.0,","367806,348521,386757,","340073.0,404084.0,383274.0,",0.6468754723347684,0.9996235326,0.3699162984807329,0.9166987877,401295.6666666667,367694.6666666667,398425.6666666667,375810.3333333333,0.916268719572518,0.9432382619258964,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=1,-0.08430585327542653
A0A024R216,HDGFRP3,"10742,17293,28816,","14515.0,18351.0,21117.0,","11024,9905,13128,","10192.0,11484.0,13010.0,",0.2854926457266722,0.9996235326,0.0615946233234653,0.9166987877,18950.33333333333,11352.333333333334,17994.333333333332,11562.0,0.5990571845701923,0.6425356130633718,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1",-0.6381516758088073
A0A024R3B9,CRYAB,"2768,3112,7244,","3740.0,3302.0,5308.0,","2621,4619,3435,","2423.0,5355.0,3404.0,",0.6396484638684472,0.9996235326,0.7328056756008832,0.9643541502,4374.666666666667,3558.333333333333,4116.666666666667,3727.3333333333335,0.8133953063090521,0.9054251012145748,Alpha-crystallin B chain OS=Homo sapiens GN=CRYAB PE=1 SV=1,-0.14333279173014057
A0A024R4E5,HDLBP,"640545,698669,903152,","865559.0,741436.0,661840.0,","831858,653305,755232,","769130.0,757462.0,748436.0,",0.9948624068647808,0.9996235326,0.9754502382950796,0.9953401933,747455.3333333334,746798.3333333334,756278.3333333334,758342.6666666666,0.9991210177107572,1.0027295947038897,"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1",0.003932607968389545
A0A024R4M0,RPS9,"1657791,2360215,2840641,","2240164.0,2504718.0,2081685.0,","2385809,1529324,2315887,","2205937.0,1773165.0,2295066.0,",0.6601931921110464,0.9996235326,0.4188968020513454,0.9166987877,2286215.6666666665,2077006.6666666667,2275522.333333333,2091389.3333333333,0.908491135350748,0.9190809963485306,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,-0.12173608660350001
A0A024R571,EHD1,"62461,71079,99193,","84401.0,75427.0,72686.0,","80890,70625,79976,","74787.0,81882.0,79253.0,",0.9742612486822128,0.9996235326,0.7985062275368957,0.9753560094,77577.66666666667,77163.66666666667,77504.66666666667,78640.66666666667,0.9946634125800812,1.014657181933131,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1,0.020992372270770894
A0A024RA52,PSMA2,"2777767,3763397,4194627,","3753579.0,3993806.0,3073913.0,","4083143,2990766,3886140,","3775303.0,3467627.0,3851201.0,",0.8963981535250716,0.9996235326,0.7831714678124693,0.9731644247,3578597.0,3653349.6666666665,3607099.3333333335,3698043.6666666665,1.0208888194637915,1.0252125946443762,Proteasome subunit alpha type OS=Homo sapiens GN=PSMA2 PE=1 SV=1,0.03592310722961641
A0A024RAC6,TCEB3,"11724,11802,14763,","15841.0,12524.0,10818.0,","12358,9085,11666,","11426.0,10533.0,11560.0,",0.2883601945043008,0.9996235326,0.3280260763642246,0.9166987877,12763.0,11036.333333333334,13061.0,11173.0,0.8647131029799682,0.8554475155041728,"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=1 SV=1",-0.22524875150477605
A0A024RBT2,DIABLO,"153211,212039,313947,","207030.0,225019.0,230065.0,","153392,171215,181249,","141824.0,198511.0,179617.0,",0.3430933094011937,0.9996235326,0.0885482569270562,0.9166987877,226399.0,168618.66666666666,220704.66666666663,173317.33333333334,0.7447853862723186,0.7852907505354064,"Diablo homolog, mitochondrial OS=Homo sapiens GN=DIABLO PE=1 SV=1",-0.34870119031807695
